ticker,text,original,preditions,predictions_score,hand_labeled
APTV,"aptiv plc designs, manufacturers, and sells vehicle components worldwide. the company provides electrical, electronic, and safety technology solutions to the automotive and commercial vehicle markets. it operates in two segment, signal and power solutions, and advanced safety and user experience. the signal and power solutions segment designs, manufactures, and assembles vehicle's electrical architecture, including engineered component products, connectors, wiring assemblies and harnesses, cable management products, electrical centers, and hybrid high voltage and safety distribution systems. the advanced safety and user experience segment provides critical components, systems integration, and software development for vehicle safety, security, comfort, and convenience, such as sensing and perception systems, electronic control units, multi-domain controllers, vehicle connectivity systems, application software, and autonomous driving technologies. the company was formerly known as delphi automotive plc and changed its name to aptiv plc in december 2017. aptiv plc was founded in 2011 and is based in dublin, ireland.",['Automobiles & Components'],"['Automobiles & Components', 'Capital Goods', 'Technology Hardware & Equipment', 'Commercial & Professional Services', 'Materials']","[7.75944889e-01 5.51635921e-01 3.54668195e-03 4.01122787e-04
 1.15399554e-04]","['Automobiles & Components', 'Technology Hardware & Equipment']"
BWA,"borgwarner inc. provides solutions for combustion, hybrid, and electric vehicles worldwide. the company operates through four segments: air management, e-propulsion & drivetrain, fuel injection, and aftermarket. the air management segment offers turbochargers, eboosters, eturbos, timing systems, emissions systems, thermal systems, gasoline ignition technology, smart remote actuators, powertrain sensors, canisters, cabin heaters, battery modules and systems, battery packs, battery heaters, and battery charging. the e-propulsion & drivetrain segment provides rotating electrical components, power electronics, control modules, software, friction, and mechanical products for automatic transmissions and torque-management products. the fuel injection segment develops and manufactures gasoline and diesel fuel injection components and systems. the aftermarket segment sells products and services to independent aftermarket customers and original equipment service customers. this segment provides a range of solutions, including fuel injection, electronics and engine management, maintenance, and test equipment and vehicle diagnostics. the company sells its products to original equipment manufacturers of light vehicles, which comprise passenger cars, sport-utility vehicles, vans, and light trucks; commercial vehicles, including medium-duty and heavy-duty trucks, and buses; and off-highway vehicles, such as agricultural and construction machinery, and marine applications, as well as to tier one vehicle systems suppliers and the aftermarket for light, commercial, and off-highway vehicles. the company was formerly known as borg-warner automotive, inc. borgwarner inc. was incorporated in 1987 and is headquartered in auburn hills, michigan.",['Automobiles & Components'],"['Automobiles & Components', 'Materials', 'Capital Goods', 'Energy', 'Commercial & Professional Services']",[0.98559451 0.33488014 0.08160434 0.01186667 0.00254463],['Automobiles & Components']
F,"ford motor company designs, manufactures, markets, and services a range of ford trucks, cars, sport utility vehicles, electrified vehicles, and lincoln luxury vehicles worldwide. it operates through three segments: automotive, mobility, and ford credit. the automotive segment sells ford and lincoln vehicles, service parts, and accessories through distributors and dealers, as well as through dealerships to commercial fleet customers, daily rental car companies, and governments. the mobility segment designs and builds mobility services; and provides self-driving systems development services. the ford credit segment primarily engages in vehicle-related financing and leasing activities to and through automotive dealers. it provides retail installment sale contracts for new and used vehicles; and direct financing leases for new vehicles to retail and commercial customers, such as leasing companies, government entities, daily rental companies, and fleet customers. this segment also offers wholesale loans to dealers to finance the purchase of vehicle inventory; and loans to dealers to finance working capital and enhance dealership facilities, purchase dealership real estate, and other dealer vehicle programs. the company has a strategic collaboration with arb corporation limited to develop a suite of aftermarket products for the new ford bronco. ford motor company was incorporated in 1903 and is based in dearborn, michigan.",['Automobiles & Components'],"['Automobiles & Components', 'Consumer Durables & Apparel', 'Capital Goods', 'Energy', 'Semiconductors & Semiconductor Equipment']",[0.86797172 0.16874747 0.05785516 0.01243704 0.00351547],['Automobiles & Components']
GM,"general motors company designs, builds, and sells trucks, crossovers, cars, and automobile parts and accessories in north america, the asia pacific, the middle east, africa, south america, the united states, and china. the company operates through gm north america, gm international, cruise, and gm financial segments. it markets its vehicles primarily under the buick, cadillac, chevrolet, gmc, holden, baojun, and wuling brand names. the company also sells trucks, crossovers, cars, and purpose-built vehicles to dealers for consumer retail sales, as well as to fleet customers, including daily rental car companies, commercial fleet customers, leasing companies, and governments. in addition, it offers safety and security services for retail and fleet customers, including automatic crash response, emergency services, roadside assistance, crisis assist, stolen vehicle assistance, and turn-by-turn navigation; and connected services comprising mobile applications for owners to remotely control their vehicles and electric vehicle owners to locate charging stations, on-demand vehicle diagnostics, smart driver, marketplace in-vehicle commerce, in-vehicle voice, voice assistant, navigation and app ecosystem, connected navigation, siriusxm with 360l, and 4g lte wireless connectivity, as well as develops and commercializes autonomous vehicle technology. further, the company provides automotive financing and insurance services; and software-enabled services and subscriptions. general motors company was founded in 1908 and is headquartered in detroit, michigan.",['Automobiles & Components'],"['Automobiles & Components', 'Consumer Durables & Apparel', 'Capital Goods', 'Materials', 'Energy']","[9.99269307e-01 2.79869661e-02 7.29411282e-03 5.13342442e-03
 8.31254118e-04]",['Automobiles & Components']
TSLA,"tesla, inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the united states, china, and internationally. the company operates in two segments, automotive, and energy generation and storage. the automotive segment offers electric vehicles, as well as sells automotive regulatory credits. it provides sedans and sport utility vehicles through direct and used vehicle sales, a network of tesla superchargers, and in-app upgrades; and purchase financing and leasing services. this segment is also involved in the provision of non-warranty after-sales vehicle services, sale of used vehicles, retail merchandise, and vehicle insurance, as well as sale of products to third party customers; services for electric vehicles through its company-owned service locations, and tesla mobile service technicians; and vehicle limited warranties and extended service plans. the energy generation and storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners. this segment also offers service and repairs to its energy product customers, including under warranty; and various financing options to its solar customers. the company was formerly known as tesla motors, inc. and changed its name to tesla, inc. in february 2017. tesla, inc. was incorporated in 2003 and is headquartered in austin, texas.",['Automobiles & Components'],"['Automobiles & Components', 'Materials', 'Capital Goods', 'Energy', 'Semiconductors & Semiconductor Equipment']","[9.94686365e-01 7.96794966e-02 2.93367319e-02 1.10792900e-02
 2.70607095e-04]",['Automobiles & Components']
BAC,"bank of america corporation, through its subsidiaries, provides banking and financial products and services for individual consumers, small and middle-market businesses, institutional investors, large corporations, and governments worldwide. its consumer banking segment offers traditional and money market savings accounts, certificates of deposit and iras, noninterest-and interest-bearing checking accounts, and investment accounts and products; and credit and debit cards, residential mortgages, and home equity loans, as well as direct and indirect loans, such as automotive, recreational vehicle, and consumer personal loans. the company's global wealth & investment management segment offers investment management, brokerage, banking, and trust and retirement products and services; and wealth management solutions, as well as customized solutions, including specialty asset management services. its global banking segment provides lending products and services, including commercial loans, leases, commitment facilities, trade finance, and commercial real estate and asset-based lending; treasury solutions, such as treasury management, foreign exchange, and short-term investing options and merchant services; working capital management solutions; and debt and equity underwriting and distribution, and merger-related and other advisory services. the company's global markets segment offers market-making, financing, securities clearing, settlement, and custody services, as well as risk management products using interest rate, equity, credit, currency and commodity derivatives, foreign exchange, fixed-income, and mortgage-related products. as of december 31, 2021, it served approximately 67 million consumer and small business clients with approximately 4,200 retail financial centers; approximately 16,000 atms; and digital banking platforms with approximately 41 million active users. the company was founded in 1784 and is based in charlotte, north carolina.",['Banks'],"['Diversified Financials', 'Banks', 'Materials', 'Health Care Equipment & Services', 'Telecommunication Services']","[8.16809475e-01 2.26209685e-01 3.89309047e-04 7.80503542e-05
 6.07724069e-05]","['Banks', 'Diversified Financials']"
C,"citigroup inc., a diversified financial services holding company, provides various financial products and services to consumers, corporations, governments, and institutions in north america, latin america, asia, europe, the middle east, and africa. the company operates in two segments, global consumer banking (gcb) and institutional clients group (icg). the gcb segment offers traditional banking services to retail customers through retail banking, citi-branded cards, and citi retail services. it also provides various banking, credit card, lending, and investment services through a network of local branches, offices, and electronic delivery systems. the icg segment offers wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative, equity and fixed income research, corporate lending, investment banking and advisory, private banking, cash management, trade finance, and securities services to corporate, institutional, public sector, and high-net-worth clients. as of december 31, 2020, it operated 2,303 branches primarily in the united states, mexico, and asia. citigroup inc. was founded in 1812 and is headquartered in new york, new york.",['Banks'],"['Diversified Financials', 'Materials', 'Banks', 'Capital Goods', 'Health Care Equipment & Services']","[9.98756766e-01 2.31551938e-03 1.90440461e-03 1.31108158e-04
 1.91498148e-05]","['Banks', 'Diversified Financials']"
CFG,"citizens financial group, inc. operates as the bank holding company for citizens bank, national association that provides retail and commercial banking products and services to individuals, small businesses, middle-market companies, corporations, and institutions in the united states. the company operates in two segments, consumer banking and commercial banking. the consumer banking segment offers deposit products, mortgage and home equity lending products, credit cards, business loans, wealth management, and investment services; and auto, education, and point-of-sale finance loans, as well as digital deposit products. this segment serves its customers through telephone service centers, as well as through its online and mobile platforms. the commercial banking segment provides various financial products and solutions, including lending and leasing, deposit and treasury management services, foreign exchange, and interest rate and commodity risk management solutions, as well as syndicated loans, corporate finance, mergers and acquisitions, and debt and equity capital markets services. this segment serves government banking, not-for-profit, healthcare, technology, professionals, oil and gas, asset finance, franchise finance, asset-based lending, commercial real estate, private equity, and sponsor finance industries. it operates approximately 1,200 branches in 14 states and the district of columbia; 114 retail and commercial non-branch offices in national markets; and approximately 3,300 automated teller machines. the company was formerly known as rbs citizens financial group, inc. and changed its name to citizens financial group, inc. in april 2014. citizens financial group, inc. was founded in 1828 and is headquartered in providence, rhode island.",['Banks'],"['Banks', 'Diversified Financials', 'Health Care Equipment & Services', 'Materials', 'Food & Staples Retailing']","[9.99987483e-01 7.62000782e-05 2.78073276e-06 1.19732226e-06
 3.96367398e-07]","['Banks', 'Diversified Financials']"
CMA,"comerica incorporated, through its subsidiaries, provides various financial products and services. it operates through commercial bank, retail bank, wealth management, and finance segments. the commercial bank segment offers various products and services, including commercial loans and lines of credit, deposits, cash management, capital market products, international trade finance, letters of credit, foreign exchange management services, and loan syndication services for small and middle market businesses, multinational corporations, and governmental entities. the retail bank segment provides personal financial services, such as consumer lending, consumer deposit gathering, and mortgage loan origination. this segment also offers various consumer products that include deposit accounts, installment loans, credit cards, student loans, home equity lines of credit, and residential mortgage loans, as well as commercial products and services to micro-businesses. the wealth management segment provides products and services comprising fiduciary, private banking, retirement, investment management and advisory, and investment banking and brokerage services. this segment also sells annuity products, as well as life, disability, and long-term care insurance products. the finance segment engages in the securities portfolio, and asset and liability management activities. it operates in texas, california, michigan, arizona, florida, canada, and mexico. the company was formerly known as detroitbank corporation and changed its name to comerica incorporated in july 1982. comerica incorporated was founded in 1849 and is headquartered in dallas, texas.",['Banks'],"['Diversified Financials', 'Banks', 'Health Care Equipment & Services', 'Materials', 'Telecommunication Services']","[8.26564968e-01 3.89178753e-01 6.32825599e-04 5.86894923e-04
 6.67419154e-05]","['Banks', 'Diversified Financials']"
FITB,"fifth third is a bank that's as long on innovation as it is on history. since 1858, we've been helping individuals, families, businesses and communities grow through smart financial services that improve lives. our list of firsts is extensive, and it's one that continues to expand as we explore the intersection of tech-driven innovation, dedicated people, and focused community impact. fifth third is one of the few u.s.-based banks to have been named among ethisphere's world's most ethical companies® for several years. with a commitment to taking care of our customers, employees, communities and shareholders, our goal is not only to be the nation's highest performing regional bank, but to be the bank people most value and trust. fifth third bank, national association is a federally chartered institution. fifth third bancorp is the indirect parent company of fifth third bank and its common stock is traded on the nasdaq® global select market under the symbol fitb. investor information and press releases can be viewed at www.53.com.",['Banks'],"['Banks', 'Diversified Financials', 'Health Care Equipment & Services', 'Telecommunication Services', 'Materials']","[9.92960274e-01 1.72129452e-01 1.10394170e-03 4.17364436e-06
 1.62895697e-06]",['Banks']
